company,country,img_url,name,price,ratings,rum_url,score,type,br_score
Don Q,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/335/Don_Q_Limon_rum.png,Don Q Limon,0,9,https://www.rumratings.com/brands/335-don-q-limon,7.3,Flavored,5.966037549
Don Q,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/336/Don_Q_Mojito_rum.png,Don Q Mojito,0,3,https://www.rumratings.com/brands/336-don-q-mojito,6.7,Flavored,5.26722379
Don Q,Puerto Rico,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/337/Don_Q_Pasion_rum.png,Don Q Pasion,0,0,https://www.rumratings.com/brands/337-don-q-pasion,0,Flavored,4.8775
Don Q,Puerto Rico,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Don Q Signature release single barrel 2007,0,1,https://www.rumratings.com/brands/5014-don-q-signature-release-single-barrel-2007,9,Aged,5.220208694
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1677/Doorly_s_12-Year_rum.png,Doorly's 12-Year,0,39,https://www.rumratings.com/brands/1677-doorly-s-12-year,7.8,Aged,7.155721038
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1678/Doorly_s_3-Year_rum.png,Doorly's 3-Year,22.57,3,https://www.rumratings.com/brands/1678-doorly-s-3-year,5.7,Light,5.053383576
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/338/Doorly_s_5-Year_rum.png,Doorly's 5-Year,22.56,27,https://www.rumratings.com/brands/338-doorly-s-5-year,6.5,Gold,6.029444779
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2080/Doorly_s-_6-Year_rum_200px.png,Doorly's 6-Year,0,5,https://www.rumratings.com/brands/2080-doorly-s-6-year,6,Gold,5.227642969
Doorly's,Barbados,https://rumratings.com/assets/default_bottle_preview-00d623211425cdab89bcbee0c2962ba1.png,Doorly's 8-Year,0,5,https://www.rumratings.com/brands/3749-doorly-s-8-year,7.6,Gold,5.726733169
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1679/Doorly_s_Macaw_White_rum.png,Doorly's Macaw White,0,4,https://www.rumratings.com/brands/1679-doorly-s-macaw-white,7,Light,5.44240158
Doorly's,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/339/Doorly_s__XO_rum.png,Doorly's XO,37.78,103,https://www.rumratings.com/brands/339-doorly-s-xo,7.1,Aged,6.885034622
Dos Maderas,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/340/Dos_Maderas_5_3_rum.png,Dos Maderas 5+3,34.52,36,https://www.rumratings.com/brands/340-dos-maderas-5-3,6.4,Aged,6.042946974
Dos Maderas,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/1134/Dos_Maderas_Luxus_rum.png,Dos Maderas Luxus,148.02,47,https://www.rumratings.com/brands/1134-dos-maderas-luxus,8.8,Aged,8.054479967
Dos Maderas,Barbados,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/341/Dos_Maderas_PX_5x5_rum.png,Dos Maderas PX 5+5,43.99,263,https://www.rumratings.com/brands/341-dos-maderas-px-5-5,7.6,Aged,7.490424415
Dos Ron,Germany,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2205/Dos-Ron_16-Year_rum_200px.png,Dos Ron 16-Year,0,4,https://www.rumratings.com/brands/2205-dos-ron-16-year,6.5,Aged,5.309327003
Dos Ron,Germany,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2206/Dos-Ron_21-Year_rum_200px.png,Dos Ron 21-Year,0,5,https://www.rumratings.com/brands/2206-dos-ron-21-year,5.4,Aged,5.040484143
Dos Ron,Germany,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/2204/Dos-Ron_8-Year_rum_200px.png,Dos Ron 8-Year,0,3,https://www.rumratings.com/brands/2204-dos-ron-8-year,7,Gold,5.331375854
Downslope Distilling,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/342/Downslope_Distilling_Gold_rum.png,Downslope Distilling Gold,0,2,https://www.rumratings.com/brands/342-downslope-distilling-gold,6,Gold,5.049805724
Downslope Distilling,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/343/Downslope_Distilling_Spiced_rum.png,Downslope Distilling Spiced,0,0,https://www.rumratings.com/brands/343-downslope-distilling-spiced,0,Spiced,4.8775
Downslope Distilling,USA,https://rumratings-production.s3.amazonaws.com/uploads/brand/preview_image/344/Downslope_Distilling_Vanilla_rum.png,Downslope Distilling Vanilla,0,0,https://www.rumratings.com/brands/344-downslope-distilling-vanilla,0,Flavored,4.8775
