,names,release,runtime,scores,user_score
312,Boogie Nights,10-Oct-97,155,85,4.2
313,City of Life and Death,11-May-11,132,85,7.7
314,Song of the Sea,19-Dec-14,93,85,8.3
315,Amy,3-Jul-15,128,85,8.3
316,The Edge of Heaven,21-May-08,116,85,8.6
317,The Savages,28-Nov-07,113,85,7.4
318,Ilo Ilo,4-Apr-14,99,85,8.1
319,Lebanon,6-Aug-10,93,85,6.5
320,The Treasure,8-Jan-16,89,85,6.2
321,Night Will Fall,21-Nov-14,75,85,7.6
322,The Endurance,21-Sep-01,97,85,8.2
323,Tangerine,10-Jul-15,88,85,7.3
324,Exit Through the Gift Shop,16-Apr-10,87,85,8.3
325,Girlhood,30-Jan-15,113,85,7.3
326,In the Mood for Love,2-Feb-01,98,85,7.4
327,Let's Get Lost,21-Apr-89,120,85,0
328,Offside,23-Mar-07,93,85,8.1
329,Raiders of the Lost Ark,12-Jun-81,115,85,9
330,Tales of the Grim Sleeper,26-Dec-14,110,85,0
331,Knocked Up,1-Jun-07,129,85,6.7
332,Turtles Can Fly,18-Feb-05,98,85,8.7
333,The Departed,6-Oct-06,151,85,7.2
334,April and the Extraordinary World,25-Mar-16,105,85,7.3
335,Festival Express,30-Jul-04,90,85,7.4
336,"Spring, Summer, Fall, Winter... and Spring",2-Apr-04,103,85,8.2
337,This Is Spinal Tap (re-release),8-Sep-00,82,85,8.7
338,An Education,9-Oct-09,100,85,7.8
339,Ordinary People,18-Sep-80,124,85,5.7
340,Tinker Tailor Soldier Spy,9-Dec-11,127,85,6.6
341,Half Nelson,11-Aug-06,0,85,7.9
342,Vincere,19-Mar-10,128,85,7.2
343,Fargo,8-Mar-96,98,85,8.8
344,Street Fight,22-Feb-06,83,85,7.5
345,Love and Diane,16-Apr-03,0,85,0
346,About Schmidt,13-Dec-02,125,85,6.6
347,Domestic Violence,30-Jan-02,196,85,0
348,Hero,27-Aug-04,99,85,8.7
349,Neil Young: Heart of Gold,10-Feb-06,103,85,8.7
350,Hedwig and the Angry Inch,20-Jul-01,95,85,8.7
351,The Last Seduction,26-Oct-94,110,85,8.4
352,Kaili Blues,20-May-16,113,85,8.8
353,The Intruder,23-Dec-05,130,85,4.5
354,Take Shelter,30-Sep-11,120,85,7.8
355,Forbidden Lie$,3-Apr-09,104,85,8
356,The Sun,20-Nov-09,115,85,6.8
357,The Past,20-Dec-13,130,85,8.4
358,24 Hour Party People,9-Aug-02,117,85,8.7
359,The Iron Giant,6-Aug-99,86,85,8.8
360,Atonement,7-Dec-07,123,85,7.9
361,The Tree of Life,27-May-11,139,85,6.9
362,Alexandra,26-Mar-08,95,85,7.3
363,The Host,9-Mar-07,119,85,6.7
364,Restrepo,25-Jun-10,93,85,7.7
365,Grisbi (re-release),5-Sep-03,94,85,8.3
366,Out of Sight,26-Jun-98,123,85,8.6
367,Women on the Verge of a Nervous Breakdown,11-Nov-88,90,85,8.2
368,Passing Strange,21-Aug-09,0,85,7.6
369,Meek's Cutoff,8-Apr-11,104,85,6.1
370,Three Colors: Blue,3-Sep-93,98,85,8.8
371,The Long Day Closes,28-May-93,85,85,0
372,Fruitvale Station,12-Jul-13,85,85,7.9
373,Watchers of the Sky,17-Oct-14,120,85,0
374,Since Otar Left,30-Apr-04,103,85,8.2
375,The Circle,13-Apr-01,90,85,7.7
376,Sound and Fury,25-Oct-00,80,85,7.6
377,Paragraph 175,13-Sep-00,81,85,8.3
378,Holy Motors,17-Oct-12,115,84,7.4
379,Sling Blade,27-Nov-96,135,84,8.8
380,A Christmas Tale,14-Nov-08,150,84,6.9
381,In the Shadow of the Moon,7-Sep-07,109,84,8.8
382,The Big Risk,18-Nov-05,103,84,7.4
383,Children of Men,25-Dec-06,109,84,8.4
384,Revanche,1-May-09,121,84,8.1
385,The Man Without a Past,4-Apr-03,97,84,7.9
386,American Movie,5-Nov-99,107,84,7.9
387,Moonrise Kingdom,25-May-12,94,84,8
388,Calle 54,20-Oct-00,105,84,8
389,Horse Money,24-Jul-15,103,84,0
390,Up the Yangtze,25-Apr-08,93,84,7.9
391,High Hopes,24-Feb-89,110,84,0
392,The Black Stallion,13-Oct-79,118,84,8.2
393,Lantana,14-Dec-01,121,84,8.6
394,Séraphine,5-Jun-09,125,84,7.5
395,49 Up,6-Oct-06,0,84,8.5
396,Naked,15-Dec-93,131,84,8.7
397,Broadcast News,16-Dec-87,133,84,7.7
398,Milk,26-Nov-08,128,84,7.7
399,Fireworks Wednesday (2006),16-Mar-16,102,84,8.5
400,Heart of a Dog,21-Oct-15,75,84,5
401,Distant,12-Mar-04,110,84,7.7
402,Far From Heaven,8-Nov-02,107,84,7.3
403,Lagaan: Once Upon a Time in India,8-May-02,224,84,8.6
404,No Man's Land,7-Dec-01,98,84,8
405,The Remains of the Day,5-Nov-93,134,84,8.8
406,Aferim!,22-Jan-16,108,84,7.6
407,War Witch,1-Mar-13,90,84,7.8
408,Darwin's Nightmare,3-Aug-05,107,84,7.6
409,My Winnipeg,13-Jun-08,80,84,6.8
410,The Handmaiden,21-Oct-16,144,84,8.5
411,Guy and Madeline on a Park Bench,5-Nov-10,82,84,6.6
412,Mystic River,8-Oct-03,138,84,6.7
413,Summer Hours,15-May-09,103,84,6.9
414,"Oslo, August 31st",25-May-12,95,84,7.7
415,Looper,28-Sep-12,119,84,8.2
416,The Death of Mr. Lazarescu,26-Apr-06,150,84,8.1
417,Momma's Man,22-Aug-08,94,84,5
418,Old Joy,20-Sep-06,76,84,5.9
419,Kings & Queen,13-May-05,150,84,6.9
420,Shrek,18-May-01,90,84,8.8
421,In the Name of the Father,29-Dec-93,133,84,8
422,Ballast,1-Oct-08,96,84,8
423,Volver,3-Nov-06,121,84,8.7
424,The Square,25-Oct-13,95,84,7.7
425,Museum Hours,28-Jun-13,107,84,6.8
426,The Insider,5-Nov-99,157,84,8.8
427,The Joy Luck Club,8-Sep-93,139,84,8.5
428,The Silence of the Lambs,13-Feb-91,118,84,8.9
429,The Descendants,16-Nov-11,115,84,7.7
430,Before the Devil Knows You're Dead,26-Oct-07,117,84,8.4
431,Snowpiercer,27-Jun-14,126,84,7.1
432,Happy-Go-Lucky,10-Oct-08,118,84,8.1
433,Lassie,1-Sep-06,100,84,7.7
434,Under the Shadow,7-Oct-16,84,84,7.9
435,Dave Chappelle's Block Party,3-Mar-06,103,84,7.6
436,The Quiet American,22-Nov-02,101,84,8.5
437,The Pinochet Case,11-Sep-02,110,84,7.9
438,The Day I Became a Woman,6-Apr-01,78,84,7.4
439,Sense and Sensibility,13-Dec-95,136,84,8.4
440,Weiner,20-May-16,96,84,8.2
441,Dallas Buyers Club,1-Nov-13,117,84,8.3
442,Kubo and the Two Strings,19-Aug-16,101,84,8.1
443,Iraq in Fragments,10-Nov-06,94,84,6.7
444,The Cove,31-Jul-09,92,84,8.1
445,Rocco and His Brothers (re-release),5-Jul-02,177,84,7.1
446,Mutual Appreciation,1-Sep-06,110,84,6.1
447,The Waiting Room,28-Sep-12,81,84,0
448,Stray Dogs,12-Sep-14,138,84,6.3
449,13 Assassins,29-Apr-11,141,84,7.9
450,Dracula: Pages from a Virgin's Diary,14-May-03,73,84,7.6
451,Together,24-Aug-01,106,84,7.9
452,Boxing Gym,22-Oct-10,91,83,0
453,Crazy Heart,16-Dec-09,112,83,7.5
454,The Fool,16-Sep-15,116,83,8
455,Everybody Wants Some!!,30-Mar-16,117,83,6.9
456,De Palma,10-Jun-16,107,83,8
457,A Little Princess,20-May-95,97,83,8.4
458,Adaptation.,6-Dec-02,114,83,8
459,Fighter,24-Aug-01,91,83,0
460,Avatar,18-Dec-09,162,83,7.5
461,The Forbidden Room,7-Oct-15,130,83,7.7
462,Welcome to the Dollhouse,22-Mar-96,88,83,7.6
463,The Secret of the Grain,24-Dec-08,151,83,8.1
464,Fantastic Mr. Fox,13-Nov-09,87,83,8.2
465,In the Loop,24-Jul-09,106,83,7.9
466,Bus 174,8-Oct-03,122,83,7.9
467,Osama,6-Feb-04,83,83,7.2
468,Amores Perros,30-Mar-01,154,83,4.9
469,The Gleaners & I,7-Mar-01,82,83,8.6
470,The Salt of the Earth,27-Mar-15,110,83,8.3
471,The Lion King,15-Jun-94,89,83,8.8
472,The Terminator,26-Oct-84,107,83,7
473,Office,18-Sep-15,119,83,7.2
474,Chop Shop,27-Feb-08,84,83,7.6
475,Raising Victor Vargas,28-Mar-03,88,83,8.3
476,Who Framed Roger Rabbit,21-Jun-88,104,83,8.9
477,'71,27-Feb-15,99,83,7.5
478,Blackfish,19-Jul-13,83,83,8.3
479,The Witch,19-Feb-16,92,83,7.1
480,Burning Bush,11-Jun-14,231,83,7.4
481,Corpse Bride,16-Sep-05,77,83,8
482,Project Nim,8-Jul-11,93,83,7.3
483,The Wind Rises,8-Nov-13,126,83,8.2
484,Neil Young Trunk Show,19-Mar-10,82,83,0
485,Marwencol,8-Oct-10,83,83,7.8
486,Spider-Man 2,30-Jun-04,127,83,8.4
487,The Age of Innocence,17-Sep-93,139,83,8
488,20 Feet from Stardom,14-Jun-13,91,83,7.3
489,When We Were Kings,25-Oct-96,89,83,8.8
490,Kurt Cobain: Montage of Heck,24-Apr-15,145,83,7.6
491,My Name Is Albert Ayler,8-Nov-07,79,83,0
492,Paranoid Park,7-Mar-08,85,83,6.6
493,Pina,23-Dec-11,106,83,7.2
494,Animal Kingdom,13-Aug-10,113,83,7.8
495,The Love Witch,11-Nov-16,120,83,0
496,Hugo ,23-Nov-11,127,83,7.7
497,Captain Phillips,11-Oct-13,134,83,8.2
498,The LEGO Movie,7-Feb-14,100,83,8.3
499,Gloria,24-Jan-14,110,83,7.1
500,Ixcanul,19-Aug-16,93,83,0
501,The Selfish Giant,20-Dec-13,91,83,8.2
502,The Day He Arrives,20-Apr-12,79,83,7
503,Hadewijch,24-Dec-10,120,83,5.5
504,Taxidermia,14-Aug-09,91,83,7.8
505,Drag Me to Hell,29-May-09,99,83,7.9
506,The King of Kong: A Fistful of Quarters,17-Aug-07,79,83,8.8
507,Alien (re-release),29-Oct-03,117,83,8.9
508,Spider,20-Dec-02,98,83,7
509,Moonstruck,18-Dec-87,102,83,8.8
510,Seymour: An Introduction,13-Mar-15,84,83,7
511,56 Up,4-Jan-13,144,83,8.3
512,Triad Election,25-Apr-07,92,83,7.1
513,Up in the Air,4-Dec-09,0,83,7.4
514,Cutie and the Boxer,16-Aug-13,82,83,7.8
515,U2 3D,23-Jan-08,85,83,8
516,Vera Drake,10-Oct-04,125,83,8.1
517,Kill Bill: Vol. 2,16-Apr-04,136,83,8
518,The Apostle,17-Dec-97,134,83,8.1
519,Babe,4-Aug-95,89,83,7.7
520,Hidden,23-Dec-05,117,83,6.6
521,Lake of Fire,3-Oct-07,152,83,7.4
522,Red Army,14-Nov-14,76,83,7.8
523,The Flat,12-Oct-12,97,83,8.2
524,Blind,4-Sep-15,96,83,7.8
525,The Magdalene Sisters,1-Aug-03,119,83,8.4
526,Tyson,24-Apr-09,90,83,8.3
527,Henry V,8-Nov-89,137,83,8.1
528,Being 17,7-Oct-16,116,83,8.4
529,The White Diamond,1-Jun-05,90,83,7.1
530,Trouble the Water,22-Aug-08,93,83,7.9
531,Mustang,20-Nov-15,97,83,7.7
532,James White,13-Nov-15,85,83,7.5
533,It Follows,13-Mar-15,100,83,7.8
534,Don't Think Twice,22-Jul-16,92,83,7.7
